date,Central Appalachia,Northern Appalachia,Illinois Basin,Powder River Basin,Uinta Basin,NgPrice
5/6/2008,116.5,105,61.25,14.25,43.5,11.09
5/7/2008,116.6428571,105,61.53571429,14.14285714,43.5,11.10285714
5/8/2008,116.7857143,105,61.82142857,14.03571429,43.5,11.11571429
5/9/2008,116.9285714,105,62.10714286,13.92857143,43.5,11.12857143
5/10/2008,117.0714286,105,62.39285714,13.82142857,43.5,11.14142857
5/11/2008,117.2142857,105,62.67857143,13.71428571,43.5,11.15428571
5/12/2008,117.3571429,105,62.96428571,13.60714286,43.5,11.16714286
5/13/2008,117.5,105,63.25,13.5,43.5,11.18
5/14/2008,117.5,105.4285714,63.39285714,13.5,44.64285714,11.14571429
5/15/2008,117.5,105.8571429,63.53571429,13.5,45.78571429,11.11142857
5/16/2008,117.5,106.2857143,63.67857143,13.5,46.92857143,11.07714286
5/17/2008,117.5,106.7142857,63.82142857,13.5,48.07142857,11.04285714
5/18/2008,117.5,107.1428571,63.96428571,13.5,49.21428571,11.00857143
5/19/2008,117.5,107.5714286,64.10714286,13.5,50.35714286,10.97428571
5/20/2008,117.5,108,64.25,13.5,51.5,10.94
5/21/2008,118.9285714,110.0714286,64.25,13.5,51.5,11.07
5/22/2008,120.3571429,112.1428571,64.25,13.5,51.5,11.2
5/23/2008,121.7857143,114.2142857,64.25,13.5,51.5,11.33
5/24/2008,123.2142857,116.2857143,64.25,13.5,51.5,11.46
5/25/2008,124.6428571,118.3571429,64.25,13.5,51.5,11.59
5/26/2008,126.0714286,120.4285714,64.25,13.5,51.5,11.72
5/27/2008,127.5,122.5,64.25,13.5,51.5,11.85
5/28/2008,127.5,122.5,64.26666667,13.51,51.51666667,11.89266667
5/29/2008,127.5,122.5,64.28333333,13.52,51.53333333,11.93533333
5/30/2008,127.5,122.5,64.3,13.53,51.55,11.978
5/31/2008,127.5,122.5,64.31666667,13.54,51.56666667,12.02066667
6/1/2008,127.5,122.5,64.33333333,13.55,51.58333333,12.06333333
6/2/2008,127.5,122.5,64.35,13.56,51.6,12.106
6/3/2008,127.5,122.5,64.36666667,13.57,51.61666667,12.14866667
6/4/2008,127.5,122.5,64.38333333,13.58,51.63333333,12.19133333
6/5/2008,127.5,122.5,64.4,13.59,51.65,12.234
6/6/2008,127.5,122.5,64.41666667,13.6,51.66666667,12.27666667
6/7/2008,127.5,122.5,64.43333333,13.61,51.68333333,12.31933333
6/8/2008,127.5,122.5,64.45,13.62,51.7,12.362
6/9/2008,127.5,122.5,64.46666667,13.63,51.71666667,12.40466667
6/10/2008,127.5,122.5,64.48333333,13.64,51.73333333,12.44733333
6/11/2008,127.5,122.5,64.5,13.65,51.75,12.49
6/12/2008,128.6428571,123.9285714,65.21428571,13.65,52.17857143,12.55285714
6/13/2008,129.7857143,125.3571429,65.92857143,13.65,52.60714286,12.61571429
6/14/2008,130.9285714,126.7857143,66.64285714,13.65,53.03571429,12.67857143
6/15/2008,132.0714286,128.2142857,67.35714286,13.65,53.46428571,12.74142857
6/16/2008,133.2142857,129.6428571,68.07142857,13.65,53.89285714,12.80428571
6/17/2008,134.3571429,131.0714286,68.78571429,13.65,54.32142857,12.86714286
6/18/2008,135.5,132.5,69.5,13.65,54.75,12.93
6/19/2008,135.5,132.5,69.5,13.65,54.75,12.90571429
6/20/2008,135.5,132.5,69.5,13.65,54.75,12.88142857
6/21/2008,135.5,132.5,69.5,13.65,54.75,12.85714286
6/22/2008,135.5,132.5,69.5,13.65,54.75,12.83285714
6/23/2008,135.5,132.5,69.5,13.65,54.75,12.80857143
6/24/2008,135.5,132.5,69.5,13.65,54.75,12.78428571
6/25/2008,135.5,132.5,69.5,13.65,54.75,12.76
6/26/2008,135.8333333,134.1666667,69.66666667,13.48333333,55.75,12.84666667
6/27/2008,136.1666667,135.8333333,69.83333333,13.31666667,56.75,12.93333333
6/28/2008,136.5,137.5,70,13.15,57.75,13.02
6/29/2008,136.8333333,139.1666667,70.16666667,12.98333333,58.75,13.10666667
6/30/2008,137.1666667,140.8333333,70.33333333,12.81666667,59.75,13.19333333
7/1/2008,137.5,142.5,70.5,12.65,60.75,13.28
7/2/2008,137.5,142.5,70.5,12.65,60.75,13.16428571
7/3/2008,137.5,142.5,70.5,12.65,60.75,13.04857143
7/4/2008,137.5,142.5,70.5,12.65,60.75,12.93285714
7/5/2008,137.5,142.5,70.5,12.65,60.75,12.81714286
7/6/2008,137.5,142.5,70.5,12.65,60.75,12.70142857
7/7/2008,137.5,142.5,70.5,12.65,60.75,12.58571429
7/8/2008,137.5,142.5,70.5,12.65,60.75,12.47
7/9/2008,137.5,142.5,73.28571429,12.65,60.89285714,12.37285714
7/10/2008,137.5,142.5,76.07142857,12.65,61.03571429,12.27571429
7/11/2008,137.5,142.5,78.85714286,12.65,61.17857143,12.17857143
7/12/2008,137.5,142.5,81.64285714,12.65,61.32142857,12.08142857
7/13/2008,137.5,142.5,84.42857143,12.65,61.46428571,11.98428571
7/14/2008,137.5,142.5,87.21428571,12.65,61.60714286,11.88714286
7/15/2008,137.5,142.5,90,12.65,61.75,11.79
7/16/2008,137.5,142.5,90,12.65,61.75,11.55714286
7/17/2008,137.5,142.5,90,12.65,61.75,11.32428571
7/18/2008,137.5,142.5,90,12.65,61.75,11.09142857
7/19/2008,137.5,142.5,90,12.65,61.75,10.85857143
7/20/2008,137.5,142.5,90,12.65,61.75,10.62571429
7/21/2008,137.5,142.5,90,12.65,61.75,10.39285714
7/22/2008,137.5,142.5,90,12.65,61.75,10.16
7/23/2008,137.5,142.6428571,90.28571429,12.44285714,61.75,10.01857143
7/24/2008,137.5,142.7857143,90.57142857,12.23571429,61.75,9.877142857
7/25/2008,137.5,142.9285714,90.85714286,12.02857143,61.75,9.735714286
7/26/2008,137.5,143.0714286,91.14285714,11.82142857,61.75,9.594285714
7/27/2008,137.5,143.2142857,91.42857143,11.61428571,61.75,9.452857143
7/28/2008,137.5,143.3571429,91.71428571,11.40714286,61.75,9.311428571
7/29/2008,137.5,143.5,92,11.2,61.75,9.17
7/30/2008,137.2142857,143.5,90.85714286,11.17142857,61.75,9.097142857
7/31/2008,136.9285714,143.5,89.71428571,11.14285714,61.75,9.024285714
8/1/2008,136.6428571,143.5,88.57142857,11.11428571,61.75,8.951428571
8/2/2008,136.3571429,143.5,87.42857143,11.08571429,61.75,8.878571429
8/3/2008,136.0714286,143.5,86.28571429,11.05714286,61.75,8.805714286
8/4/2008,135.7857143,143.5,85.14285714,11.02857143,61.75,8.732857143
8/5/2008,135.5,143.5,84,11,61.75,8.66
8/6/2008,135.5,143.0714286,84,11,61.60714286,8.598571429
8/7/2008,135.5,142.6428571,84,11,61.46428571,8.537142857
8/8/2008,135.5,142.2142857,84,11,61.32142857,8.475714286
8/9/2008,135.5,141.7857143,84,11,61.17857143,8.414285714
8/10/2008,135.5,141.3571429,84,11,61.03571429,8.352857143
8/11/2008,135.5,140.9285714,84,11,60.89285714,8.291428571
8/12/2008,135.5,140.5,84,11,60.75,8.23
8/13/2008,135.5,140.5,84,11,60.75,8.158571429
8/14/2008,135.5,140.5,84,11,60.75,8.087142857
8/15/2008,135.5,140.5,84,11,60.75,8.015714286
8/16/2008,135.5,140.5,84,11,60.75,7.944285714
8/17/2008,135.5,140.5,84,11,60.75,7.872857143
8/18/2008,135.5,140.5,84,11,60.75,7.801428571
8/19/2008,135.5,140.5,84,11,60.75,7.73
8/20/2008,135.2142857,141.2142857,84,11.07142857,60.75,7.771428571
8/21/2008,134.9285714,141.9285714,84,11.14285714,60.75,7.812857143
8/22/2008,134.6428571,142.6428571,84,11.21428571,60.75,7.854285714
8/23/2008,134.3571429,143.3571429,84,11.28571429,60.75,7.895714286
8/24/2008,134.0714286,144.0714286,84,11.35714286,60.75,7.937142857
8/25/2008,133.7857143,144.7857143,84,11.42857143,60.75,7.978571429
8/26/2008,133.5,145.5,84,11.5,60.75,8.02
8/27/2008,133.5625,145.1875,84,11.84375,60.76875,7.925
8/28/2008,133.625,144.875,84,12.1875,60.7875,7.83
8/29/2008,133.6875,144.5625,84,12.53125,60.80625,7.735
8/30/2008,133.75,144.25,84,12.875,60.825,7.64
8/31/2008,133.8125,143.9375,84,13.21875,60.84375,7.545
9/1/2008,133.875,143.625,84,13.5625,60.8625,7.45
9/2/2008,133.9375,143.3125,84,13.90625,60.88125,7.355
9/3/2008,134,143,84,14.25,60.9,7.26
9/4/2008,133.7142857,143,84,14.25,60.9,7.315714286
9/5/2008,133.4285714,143,84,14.25,60.9,7.371428571
9/6/2008,133.1428571,143,84,14.25,60.9,7.427142857
9/7/2008,132.8571429,143,84,14.25,60.9,7.482857143
9/8/2008,132.5714286,143,84,14.25,60.9,7.538571429
9/9/2008,132.2857143,143,84,14.25,60.9,7.594285714
9/10/2008,132,143,84,14.25,60.9,7.65
9/11/2008,132,143,84,14.25,60.9,7.66
9/12/2008,132,143,84,14.25,60.9,7.67
9/13/2008,132,143,84,14.25,60.9,7.68
9/14/2008,132,143,84,14.25,60.9,7.69
9/15/2008,132,143,84,14.25,60.9,7.7
9/16/2008,132,143,84,14.25,60.9,7.71
9/17/2008,132,143,84,14.25,60.9,7.72
9/18/2008,131.1428571,143,84,14.25,60.9,7.781428571
9/19/2008,130.2857143,143,84,14.25,60.9,7.842857143
9/20/2008,129.4285714,143,84,14.25,60.9,7.904285714
9/21/2008,128.5714286,143,84,14.25,60.9,7.965714286
9/22/2008,127.7142857,143,84,14.25,60.9,8.027142857
9/23/2008,126.8571429,143,84,14.25,60.9,8.088571429
9/24/2008,126,143,84,14.25,60.9,8.15
9/25/2008,125.2857143,141.5714286,84,14.17142857,60.9,8.044285714
9/26/2008,124.5714286,140.1428571,84,14.09285714,60.9,7.938571429
9/27/2008,123.8571429,138.7142857,84,14.01428571,60.9,7.832857143
9/28/2008,123.1428571,137.2857143,84,13.93571429,60.9,7.727142857
9/29/2008,122.4285714,135.8571429,84,13.85714286,60.9,7.621428571
9/30/2008,121.7142857,134.4285714,84,13.77857143,60.9,7.515714286
10/1/2008,121,133,84,13.7,60.9,7.41
10/2/2008,121,131.3333333,84,13.7,61.75,7.298333333
10/3/2008,121,129.6666667,84,13.7,62.6,7.186666667
10/4/2008,121,128,84,13.7,63.45,7.075
10/5/2008,121,126.3333333,84,13.7,64.3,6.963333333
10/6/2008,121,124.6666667,84,13.7,65.15,6.851666667
10/7/2008,121,123,84,13.7,66,6.74
10/8/2008,121,123,84,13.7,66,6.74
10/9/2008,121,123,84,13.7,66,6.74
10/10/2008,121,123,84,13.7,66,6.74
10/11/2008,121,123,84,13.7,66,6.74
10/12/2008,121,123,84,13.7,66,6.74
10/13/2008,121,123,84,13.7,66,6.74
10/14/2008,121,123,84,13.7,66,6.74
10/15/2008,119.5714286,121.7142857,84,13.7,66.42857143,6.742857143
10/16/2008,118.1428571,120.4285714,84,13.7,66.85714286,6.745714286
10/17/2008,116.7142857,119.1428571,84,13.7,67.28571429,6.748571429
10/18/2008,115.2857143,117.8571429,84,13.7,67.71428571,6.751428571
10/19/2008,113.8571429,116.5714286,84,13.7,68.14285714,6.754285714
10/20/2008,112.4285714,115.2857143,84,13.7,68.57142857,6.757142857
10/21/2008,111,114,84,13.7,69,6.76
10/22/2008,111,113.7142857,84,13.7,69.28571429,6.708571429
10/23/2008,111,113.4285714,84,13.7,69.57142857,6.657142857
10/24/2008,111,113.1428571,84,13.7,69.85714286,6.605714286
10/25/2008,111,112.8571429,84,13.7,70.14285714,6.554285714
10/26/2008,111,112.5714286,84,13.7,70.42857143,6.502857143
10/27/2008,111,112.2857143,84,13.7,70.71428571,6.451428571
10/28/2008,111,112,84,13.7,71,6.4
10/29/2008,111,110.75,84,13.7,71.125,6.4675
10/30/2008,111,109.5,84,13.7,71.25,6.535
10/31/2008,111,108.25,84,13.7,71.375,6.6025
11/1/2008,111,107,84,13.7,71.5,6.67
11/2/2008,111,105.75,84,13.7,71.625,6.7375
11/3/2008,111,104.5,84,13.7,71.75,6.805
11/4/2008,111,103.25,84,13.7,71.875,6.8725
11/5/2008,111,102,84,13.7,72,6.94
11/6/2008,109.8357143,102,83.42857143,13.55714286,72,6.898571429
11/7/2008,108.6714286,102,82.85714286,13.41428571,72,6.857142857
11/8/2008,107.5071429,102,82.28571429,13.27142857,72,6.815714286
11/9/2008,106.3428571,102,81.71428571,13.12857143,72,6.774285714
11/10/2008,105.1785714,102,81.14285714,12.98571429,72,6.732857143
11/11/2008,104.0142857,102,80.57142857,12.84285714,72,6.691428571
11/12/2008,102.85,102,80,12.7,72,6.65
11/13/2008,102.1357143,102,79.85714286,12.7,72,6.665714286
11/14/2008,101.4214286,102,79.71428571,12.7,72,6.681428571
11/15/2008,100.7071429,102,79.57142857,12.7,72,6.697142857
11/16/2008,99.99285714,102,79.42857143,12.7,72,6.712857143
11/17/2008,99.27857143,102,79.28571429,12.7,72,6.728571429
11/18/2008,98.56428571,102,79.14285714,12.7,72,6.744285714
11/19/2008,97.85,102,79,12.7,72,6.76
11/20/2008,97.27307692,102.0769231,78.92307692,12.76153846,72.11538462,6.753846154
11/21/2008,96.69615385,102.1538462,78.84615385,12.82307692,72.23076923,6.747692308
11/22/2008,96.11923077,102.2307692,78.76923077,12.88461538,72.34615385,6.741538462
11/23/2008,95.54230769,102.3076923,78.69230769,12.94615385,72.46153846,6.735384615
11/24/2008,94.96538462,102.3846154,78.61538462,13.00769231,72.57692308,6.729230769
11/25/2008,94.38846154,102.4615385,78.53846154,13.06923077,72.69230769,6.723076923
11/26/2008,93.81153846,102.5384615,78.46153846,13.13076923,72.80769231,6.716923077
11/27/2008,93.23461538,102.6153846,78.38461538,13.19230769,72.92307692,6.710769231
11/28/2008,92.65769231,102.6923077,78.30769231,13.25384615,73.03846154,6.704615385
11/29/2008,92.08076923,102.7692308,78.23076923,13.31538462,73.15384615,6.698461538
11/30/2008,91.50384615,102.8461538,78.15384615,13.37692308,73.26923077,6.692307692
12/1/2008,90.92692308,102.9230769,78.07692308,13.43846154,73.38461538,6.686153846
12/2/2008,90.35,103,78,13.5,73.5,6.68
12/3/2008,89.63571429,100.7142857,78,13.5,73.5,6.521428571
12/4/2008,88.92142857,98.42857143,78,13.5,73.5,6.362857143
12/5/2008,88.20714286,96.14285714,78,13.5,73.5,6.204285714
12/6/2008,87.49285714,93.85714286,78,13.5,73.5,6.045714286
12/7/2008,86.77857143,91.57142857,78,13.5,73.5,5.887142857
12/8/2008,86.06428571,89.28571429,78,13.5,73.5,5.728571429
12/9/2008,85.35,87,78,13.5,73.5,5.57
12/10/2008,84.63571429,85.57142857,76.28571429,13.5,73.5,5.595714286
12/11/2008,83.92142857,84.14285714,74.57142857,13.5,73.5,5.621428571
12/12/2008,83.20714286,82.71428571,72.85714286,13.5,73.5,5.647142857
12/13/2008,82.49285714,81.28571429,71.14285714,13.5,73.5,5.672857143
12/14/2008,81.77857143,79.85714286,69.42857143,13.5,73.5,5.698571429
12/15/2008,81.06428571,78.42857143,67.71428571,13.5,73.5,5.724285714
12/16/2008,80.35,77,66,13.5,73.5,5.75
12/17/2008,79.49285714,76.71428571,65.57142857,13.5,73.5,5.695714286
12/18/2008,78.63571429,76.42857143,65.14285714,13.5,73.5,5.641428571
12/19/2008,77.77857143,76.14285714,64.71428571,13.5,73.5,5.587142857
12/20/2008,76.92142857,75.85714286,64.28571429,13.5,73.5,5.532857143
12/21/2008,76.06428571,75.57142857,63.85714286,13.5,73.5,5.478571429
12/22/2008,75.20714286,75.28571429,63.42857143,13.5,73.5,5.424285714
12/23/2008,74.35,75,63,13.5,73.5,5.37
12/24/2008,73.63571429,74.14285714,62.71428571,13.46428571,73.5,5.418571429
12/25/2008,72.92142857,73.28571429,62.42857143,13.42857143,73.5,5.467142857
12/26/2008,72.20714286,72.42857143,62.14285714,13.39285714,73.5,5.515714286
12/27/2008,71.49285714,71.57142857,61.85714286,13.35714286,73.5,5.564285714
12/28/2008,70.77857143,70.71428571,61.57142857,13.32142857,73.5,5.612857143
12/29/2008,70.06428571,69.85714286,61.28571429,13.28571429,73.5,5.661428571
12/30/2008,69.35,69,61,13.25,73.5,5.71
12/31/2008,69.35,69,60.28571429,13.25,73.5,5.765714286
1/1/2009,69.35,69,59.57142857,13.25,73.5,5.821428571
1/2/2009,69.35,69,58.85714286,13.25,73.5,5.877142857
1/3/2009,69.35,69,58.14285714,13.25,73.5,5.932857143
1/4/2009,69.35,69,57.42857143,13.25,73.5,5.988571429
1/5/2009,69.35,69,56.71428571,13.25,73.5,6.044285714
1/6/2009,69.35,69,56,13.25,73.5,6.1
1/7/2009,69.35,68.42857143,56,13.21428571,73.5,6.042857143
1/8/2009,69.35,67.85714286,56,13.17857143,73.5,5.985714286
1/9/2009,69.35,67.28571429,56,13.14285714,73.5,5.928571429
1/10/2009,69.35,66.71428571,56,13.10714286,73.5,5.871428571
1/11/2009,69.35,66.14285714,56,13.07142857,73.5,5.814285714
1/12/2009,69.35,65.57142857,56,13.03571429,73.5,5.757142857
1/13/2009,69.35,65,56,13,73.5,5.7
1/14/2009,69.35,65,56,13,73.21428571,5.58
1/15/2009,69.35,65,56,13,72.92857143,5.46
1/16/2009,69.35,65,56,13,72.64285714,5.34
1/17/2009,69.35,65,56,13,72.35714286,5.22
1/18/2009,69.35,65,56,13,72.07142857,5.1
1/19/2009,69.35,65,56,13,71.78571429,4.98
1/20/2009,69.35,65,56,13,71.5,4.86
1/21/2009,69.20714286,65,55.71428571,13,71.5,4.845714286
1/22/2009,69.06428571,65,55.42857143,13,71.5,4.831428571
1/23/2009,68.92142857,65,55.14285714,13,71.5,4.817142857
1/24/2009,68.77857143,65,54.85714286,13,71.5,4.802857143
1/25/2009,68.63571429,65,54.57142857,13,71.5,4.788571429
1/26/2009,68.49285714,65,54.28571429,13,71.5,4.774285714
1/27/2009,68.35,65,54,13,71.5,4.76
1/28/2009,68.35,65,54,13,71.5,4.751
1/29/2009,68.35,65,54,13,71.5,4.742
1/30/2009,68.35,65,54,13,71.5,4.733
1/31/2009,68.35,65,54,13,71.5,4.724
2/1/2009,68.35,65,54,13,71.5,4.715
2/2/2009,68.35,65,54,13,71.5,4.706
2/3/2009,68.35,65,54,13,71.5,4.697
2/4/2009,68.35,65,54,13,71.5,4.688
2/5/2009,68.35,65,54,13,71.5,4.679
2/6/2009,68.35,65,54,13,71.5,4.67
2/7/2009,68.35,64.28571429,54,13,71.5,4.66
2/8/2009,68.35,63.57142857,54,13,71.5,4.65
2/9/2009,68.35,62.85714286,54,13,71.5,4.64
2/10/2009,68.35,62.14285714,54,13,71.5,4.63
2/11/2009,68.35,61.42857143,54,13,71.5,4.62
2/12/2009,68.35,60.71428571,54,13,71.5,4.61
2/13/2009,68.35,60,54,13,71.5,4.6
2/14/2009,68.35,60,54,13,71.5,4.544285714
2/15/2009,68.35,60,54,13,71.5,4.488571429
2/16/2009,68.35,60,54,13,71.5,4.432857143
2/17/2009,68.35,60,54,13,71.5,4.377142857
2/18/2009,68.35,60,54,13,71.5,4.321428571
2/19/2009,68.35,60,54,13,71.5,4.265714286
2/20/2009,68.35,60,54,13,71.5,4.21
2/21/2009,68.3,59.85714286,53.42857143,13,71.5,4.185714286
2/22/2009,68.25,59.71428571,52.85714286,13,71.5,4.161428571
2/23/2009,68.2,59.57142857,52.28571429,13,71.5,4.137142857
2/24/2009,68.15,59.42857143,51.71428571,13,71.5,4.112857143
2/25/2009,68.1,59.28571429,51.14285714,13,71.5,4.088571429
2/26/2009,68.05,59.14285714,50.57142857,13,71.5,4.064285714
2/27/2009,68,59,50,13,71.5,4.04
2/28/2009,68.025,58.875,50,13.025,71.625,4.1375
3/1/2009,68.05,58.75,50,13.05,71.75,4.235
3/2/2009,68.075,58.625,50,13.075,71.875,4.3325
3/3/2009,68.1,58.5,50,13.1,72,4.43
3/4/2009,67.6,58.5,50,13.1,72,4.335
3/5/2009,67.1,58.5,50,13.1,72,4.24
3/6/2009,66.6,58.5,50,13.1,72,4.145
3/7/2009,66.1,58.5,50,13.1,72,4.05
3/8/2009,65.6,58.5,50,13.1,72,3.955
3/9/2009,65.1,58.5,50,13.1,72,3.86
3/10/2009,65.1,58,50,12.85,68.125,3.85
3/11/2009,65.1,57.5,50,12.6,64.25,3.84
3/12/2009,65.1,57,50,12.35,60.375,3.83
3/13/2009,65.1,56.5,50,12.1,56.5,3.82
3/14/2009,65.1,56,50,11.85,52.625,3.81
3/15/2009,65.1,55.5,50,11.6,48.75,3.8
3/16/2009,65.1,55,50,11.35,44.875,3.79
3/17/2009,65.1,54.5,50,11.1,41,3.78
3/18/2009,65.1,54.5,50,11.1,41,3.83
3/19/2009,65.1,54.5,50,11.1,41,3.88
3/20/2009,65.1,54.5,50,11.1,41,3.93
3/21/2009,65.1,54.5,50,11.1,41,3.98
3/22/2009,65.1,54.5,50,11.1,41,4.03
3/23/2009,65.1,54.5,50,11.1,41,4.08
3/24/2009,65.1,54.5,50,11.1,41,4.13
3/25/2009,65.1,53.875,49.875,10.9125,41,4.05875
3/26/2009,65.1,53.25,49.75,10.725,41,3.9875
3/27/2009,65.1,52.625,49.625,10.5375,41,3.91625
3/28/2009,65.1,52,49.5,10.35,41,3.845
3/29/2009,65.1,51.375,49.375,10.1625,41,3.77375
3/30/2009,65.1,50.75,49.25,9.975,41,3.7025
3/31/2009,65.1,50.125,49.125,9.7875,41,3.63125
4/1/2009,65.1,49.5,49,9.6,41,3.56
4/2/2009,65.1,48.78571429,49,9.528571429,41,3.551428571
4/3/2009,65.1,48.07142857,49,9.457142857,41,3.542857143
4/4/2009,65.1,47.35714286,49,9.385714286,41,3.534285714
4/5/2009,65.1,46.64285714,49,9.314285714,41,3.525714286
4/6/2009,65.1,45.92857143,49,9.242857143,41,3.517142857
4/7/2009,65.1,45.21428571,49,9.171428571,41,3.508571429
4/8/2009,65.1,44.5,49,9.1,41,3.5
4/9/2009,65.24285714,44.5,49,9.085714286,41,3.514285714
4/10/2009,65.38571429,44.5,49,9.071428571,41,3.528571429
4/11/2009,65.52857143,44.5,49,9.057142857,41,3.542857143
4/12/2009,65.67142857,44.5,49,9.042857143,41,3.557142857
4/13/2009,65.81428571,44.5,49,9.028571429,41,3.571428571
4/14/2009,65.95714286,44.5,49,9.014285714,41,3.585714286
4/15/2009,66.1,44.5,49,9,41,3.6
4/16/2009,66.1,44.5,49,9,41,3.582857143
4/17/2009,66.1,44.5,49,9,41,3.565714286
4/18/2009,66.1,44.5,49,9,41,3.548571429
4/19/2009,66.1,44.5,49,9,41,3.531428571
4/20/2009,66.1,44.5,49,9,41,3.514285714
4/21/2009,66.1,44.5,49,9,41,3.497142857
4/22/2009,66.1,44.5,49,9,41,3.48
4/23/2009,66.1,44.5,49,9,41,3.472857143
4/24/2009,66.1,44.5,49,9,41,3.465714286
4/25/2009,66.1,44.5,49,9,41,3.458571429
4/26/2009,66.1,44.5,49,9,41,3.451428571
4/27/2009,66.1,44.5,49,9,41,3.444285714
4/28/2009,66.1,44.5,49,9,41,3.437142857
4/29/2009,66.1,44.5,49,9,41,3.43
4/30/2009,62.83333333,44.5,49,9,41,3.461666667
5/1/2009,59.56666667,44.5,49,9,41,3.493333333
5/2/2009,56.3,44.5,49,9,41,3.525
5/3/2009,53.03333333,44.5,49,9,41,3.556666667
5/4/2009,49.76666667,44.5,49,9,41,3.588333333
5/5/2009,46.5,44.5,49,9,41,3.62
5/6/2009,46.5,44.5,48.42857143,9,41,3.732857143
5/7/2009,46.5,44.5,47.85714286,9,41,3.845714286
5/8/2009,46.5,44.5,47.28571429,9,41,3.958571429
5/9/2009,46.5,44.5,46.71428571,9,41,4.071428571
5/10/2009,46.5,44.5,46.14285714,9,41,4.184285714
5/11/2009,46.5,44.5,45.57142857,9,41,4.297142857
5/12/2009,46.5,44.5,45,9,41,4.41
5/13/2009,46.64285714,44.42857143,44.71428571,9,41,4.35
5/14/2009,46.78571429,44.35714286,44.42857143,9,41,4.29
5/15/2009,46.92857143,44.28571429,44.14285714,9,41,4.23
5/16/2009,47.07142857,44.21428571,43.85714286,9,41,4.17
5/17/2009,47.21428571,44.14285714,43.57142857,9,41,4.11
5/18/2009,47.35714286,44.07142857,43.28571429,9,41,4.05
5/19/2009,47.5,44,43,9,41,3.99
5/20/2009,47.5,44,43,9,41,3.898571429
5/21/2009,47.5,44,43,9,41,3.807142857
5/22/2009,47.5,44,43,9,41,3.715714286
5/23/2009,47.5,44,43,9,41,3.624285714
5/24/2009,47.5,44,43,9,41,3.532857143
5/25/2009,47.5,44,43,9,41,3.441428571
5/26/2009,47.5,44,43,9,41,3.35
5/27/2009,47.5,44,43,9,41,3.4075
5/28/2009,47.5,44,43,9,41,3.465
5/29/2009,47.5,44,43,9,41,3.5225
5/30/2009,47.5,44,43,9,41,3.58
5/31/2009,47.5,44,43,9,41,3.6375
6/1/2009,47.5,44,43,9,41,3.695
6/2/2009,47.5,44,43,9,41,3.7525
6/3/2009,47.5,44,43,9,41,3.81
6/4/2009,47.78571429,44.28571429,43,9,41.42857143,3.774285714
6/5/2009,48.07142857,44.57142857,43,9,41.85714286,3.738571429
6/6/2009,48.35714286,44.85714286,43,9,42.28571429,3.702857143
6/7/2009,48.64285714,45.14285714,43,9,42.71428571,3.667142857
6/8/2009,48.92857143,45.42857143,43,9,43.14285714,3.631428571
6/9/2009,49.21428571,45.71428571,43,9,43.57142857,3.595714286
6/10/2009,49.5,46,43,9,44,3.56
6/11/2009,49.92857143,46.14285714,43.14285714,9,44.07142857,3.621428571
6/12/2009,50.35714286,46.28571429,43.28571429,9,44.14285714,3.682857143
6/13/2009,50.78571429,46.42857143,43.42857143,9,44.21428571,3.744285714
6/14/2009,51.21428571,46.57142857,43.57142857,9,44.28571429,3.805714286
6/15/2009,51.64285714,46.71428571,43.71428571,9,44.35714286,3.867142857
6/16/2009,52.07142857,46.85714286,43.85714286,9,44.42857143,3.928571429
6/17/2009,52.5,47,44,9,44.5,3.99
6/18/2009,52.5,47,44,9,44.5,3.962857143
6/19/2009,52.5,47,44,9,44.5,3.935714286
6/20/2009,52.5,47,44,9,44.5,3.908571429
6/21/2009,52.5,47,44,9,44.5,3.881428571
6/22/2009,52.5,47,44,9,44.5,3.854285714
6/23/2009,52.5,47,44,9,44.5,3.827142857
6/24/2009,52.5,47,44,9,44.5,3.8
6/25/2009,52.5,47,44,9,44.5,3.775714286
6/26/2009,52.5,47,44,9,44.5,3.751428571
6/27/2009,52.5,47,44,9,44.5,3.727142857
6/28/2009,52.5,47,44,9,44.5,3.702857143
6/29/2009,52.5,47,44,9,44.5,3.678571429
6/30/2009,52.5,47,44,9,44.5,3.654285714
7/1/2009,52.5,47,44,9,44.5,3.63
7/2/2009,52.66666667,47.83333333,44,9,44.5,3.575
7/3/2009,52.83333333,48.66666667,44,9,44.5,3.52
7/4/2009,53,49.5,44,9,44.5,3.465
7/5/2009,53.16666667,50.33333333,44,9,44.5,3.41
7/6/2009,53.33333333,51.16666667,44,9,44.5,3.355
7/7/2009,53.5,52,44,9,44.5,3.3
7/8/2009,53.5,52,44,9,44.5,3.298571429
7/9/2009,53.5,52,44,9,44.5,3.297142857
7/10/2009,53.5,52,44,9,44.5,3.295714286
7/11/2009,53.5,52,44,9,44.5,3.294285714
7/12/2009,53.5,52,44,9,44.5,3.292857143
7/13/2009,53.5,52,44,9,44.5,3.291428571
7/14/2009,53.5,52,44,9,44.5,3.29
7/15/2009,53.5,52,44.28571429,9,44.5,3.317142857
7/16/2009,53.5,52,44.57142857,9,44.5,3.344285714
7/17/2009,53.5,52,44.85714286,9,44.5,3.371428571
7/18/2009,53.5,52,45.14285714,9,44.5,3.398571429
7/19/2009,53.5,52,45.42857143,9,44.5,3.425714286
7/20/2009,53.5,52,45.71428571,9,44.5,3.452857143
